TITLE="DIR08_SCB_ER_E_WD280.dat"
VARIABLES= "Density" "Radius" "Height" "0.1053" "0.356" "0.6617" "1.3325" 
ZONE T="3D Data" I=11 J=8 K=3 F=POINT
2.50000000e-001 1.09375000e+001 1.00000000e+001 3.98703684e-005 4.33714786e-005 3.21436830e-005 2.26880598e-005 
2.50000000e-001 1.53125000e+001 1.00000000e+001 4.93030680e-005 5.02894812e-005 3.67779782e-005 2.57670558e-005 
2.50000000e-001 1.96875000e+001 1.00000000e+001 6.56346857e-005 6.17928096e-005 4.42165645e-005 3.04677536e-005 
2.50000000e-001 2.40625000e+001 1.00000000e+001 9.26114866e-005 7.88633006e-005 5.47631636e-005 3.68269557e-005 
2.50000000e-001 2.84375000e+001 1.00000000e+001 1.47356968e-004 1.06970948e-004 7.05886388e-005 4.55311802e-005 
2.50000000e-001 3.28125000e+001 1.00000000e+001 2.07579184e-004 1.36585445e-004 8.70366765e-005 5.44731459e-005 
5.00000000e-001 2.18750000e+000 1.00000000e+001 9.87961124e-006 1.93884225e-005 1.73095491e-005 1.41205372e-005 
5.00000000e-001 6.56250000e+000 1.00000000e+001 1.11577701e-005 2.05353675e-005 1.80581208e-005 1.46319258e-005 
5.00000000e-001 1.09375000e+001 1.00000000e+001 1.44658295e-005 2.35525622e-005 2.01357865e-005 1.60801145e-005 
5.00000000e-001 1.53125000e+001 1.00000000e+001 2.12867199e-005 2.96812718e-005 2.43851504e-005 1.89533142e-005 
5.00000000e-001 1.96875000e+001 1.00000000e+001 3.46153832e-005 4.04521620e-005 3.15375695e-005 2.35401417e-005 
5.00000000e-001 2.40625000e+001 1.00000000e+001 6.17353329e-005 5.87705937e-005 4.29076831e-005 3.03613100e-005 
5.00000000e-001 2.84375000e+001 1.00000000e+001 1.39303438e-004 9.79314649e-005 6.45106944e-005 4.18824194e-005 
5.00000000e-001 3.28125000e+001 1.00000000e+001 2.41624411e-004 1.41988514e-004 8.78880965e-005 5.40285702e-005 
7.50000000e-001 2.18750000e+000 1.00000000e+001 2.93689890e-006 9.65277774e-006 1.02363669e-005 9.64607713e-006 
